sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
臺南,臺南市,95,懸浮微粒,普通,1.2,0.28,23.6,43.2,37,13,14.2,15.8,1.5,3.4,13,"2024-11-21 20:00",,0.2,16.5,95,1,120.21947897,22.98928311,46
安南,臺南市,94,懸浮微粒,普通,1.3,0.29,23.2,42.2,34,13,12.5,12.7,0.1,2.1,316,"2024-11-21 20:00",,0.2,17.6,94,1,120.2175,23.048197,45
善化,臺南市,74,懸浮微粒,普通,1.5,0.21,23.5,41.0,37,10,11.7,12.5,0.8,4.5,1,"2024-11-21 20:00",,0.2,16.1,74,1,120.29740529,23.11337642,44
新營,臺南市,75,懸浮微粒,普通,1.6,0.29,21.3,33.8,39,11,13.3,15.6,2.2,2.9,19,"2024-11-21 20:00",,0.2,14.5,75,1,120.31725,23.305633,43
嘉義,嘉義市,45,,良好,3,0.31,20.8,35.0,19,12,13.4,14.5,1,2.7,5,"2024-11-21 20:00",,0.2,13.8,36,2,120.44125148,23.46477865,42
臺西,雲林縣,37,,良好,0.6,0.19,36.2,40.7,21,3,4.3,4.3,0,9.8,25,"2024-11-21 20:00",,0.1,6,26,0,120.19933333,23.702175,41
朴子,嘉義縣,73,懸浮微粒,普通,3.6,0.3,23.8,36,37,7,12.3,13.3,0.9,2.1,355,"2024-11-21 20:00",,0.2,8.5,73,1,120.2478,23.46538,40
新港,嘉義縣,63,懸浮微粒,普通,2,0.23,25.5,37.5,42,8,11.4,11.7,0.3,2.9,1,"2024-11-21 20:00",,0.2,11,63,1,120.345531,23.554839,39
崙背,雲林縣,105,懸浮微粒,對敏感族群不健康,1,0.3,27,32.8,116,8,9.6,10.4,0.7,2.8,7,"2024-11-21 20:00",,0.2,13.6,113,0,120.348742,23.757547,38
斗六,雲林縣,36,,良好,1.4,0.27,21.8,36.1,17,10,11.9,13.2,1.3,1.9,353,"2024-11-21 20:00",,0.2,11.1,26,1,120.544994,23.711853,37
南投,南投縣,27,,良好,1.6,0.29,21.1,29.2,11,3,14,14.8,0.7,1.9,352,"2024-11-21 20:00",,0.2,5.8,19,1,120.685306,23.913,36
二林,彰化縣,20,,良好,1.6,0.22,0,,13,5,10.1,10.8,0.7,5.4,27,"2024-11-21 20:00",,0.2,6.1,17,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1.1,0.21,31.7,34.7,10,3,9.5,10.3,0.8,7.2,35,"2024-11-21 20:00",,0.2,4,15,1,120.469061,24.131672,34
彰化,彰化縣,26,,良好,0.7,0.27,25.2,28.5,6,4,13,15,2,3.2,14,"2024-11-21 20:00",,0.2,5,11,0,120.541519,24.066,33
西屯,臺中市,28,,良好,1.3,0.21,29.4,30.9,5,5,7.8,8.8,0.9,4.2,5,"2024-11-21 20:00",,0.1,4.8,12,1,120.616917,24.162197,32
忠明,臺中市,24,,良好,1.5,0.28,25.1,26.8,7,2,11.5,13.2,1.6,2,325,"2024-11-21 20:00",,0.2,4.1,11,1,120.641092,24.151958,31
大里,臺中市,23,,良好,1.2,0.3,23,26.0,9,4,11.2,12.6,1.3,2.8,13,"2024-11-21 20:00",,0.2,5.3,11,1,120.67844444,24.09961111,30
沙鹿,臺中市,30,,良好,1.2,0.23,30,33.0,9,6,8.1,9.2,1,4.4,32,"2024-11-21 20:00",,0.2,4.7,10,1,120.568794,24.225628,29
豐原,臺中市,26,,良好,1,0.25,27.3,28.6,5,2,6.1,7.1,1,1.9,12,"2024-11-21 20:00",,0.2,1.6,6,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.8,0.19,33.1,30.6,3,3,3.8,4.5,0.7,6.5,14,"2024-11-21 20:00",,0.1,3.5,2,0,120.75956754,24.38248443,27
苗栗,苗栗縣,27,,良好,1.3,0.26,27.5,29.7,3,7,10.5,11.8,1.3,4.1,10,"2024-11-21 20:00",,0.2,5.5,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,28,,良好,1.2,0.27,31.1,30.7,6,6,10.7,12.2,1.5,3.5,33,"2024-11-21 20:00",,0.2,6.1,8,1,120.89869286,24.69690679,25
新竹,新竹市,29,,良好,1.1,0.28,30.1,31.7,4,3,11.5,12.3,0.7,3.5,35,"2024-11-21 20:00",,0.2,2.5,6,1,120.97236752,24.8056356,24
竹東,新竹縣,34,,良好,0.6,0.18,37.9,37.9,0,0,4,4.6,0.6,3.5,37,"2024-11-21 20:00",,0.1,1.6,1,0,121.08895493,24.74091408,23
湖口,新竹縣,31,,良好,0.8,0.2,36,34.3,4,4,5.2,6.4,1.1,6.6,48,"2024-11-21 20:00",,0.1,3.3,6,1,121.03886894,24.90009696,22
